age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,capital-gain,capital-loss,hours-per-week,native-country,sex,income
25,4,304791,15,10,2,4,0,3,0,0,40,39,1,0
31,4,226956,11,9,4,8,3,4,0,0,30,0,1,0
47,0,51835,14,15,2,10,5,4,0,0,40,39,1,1
50,5,251585,9,13,2,5,0,4,0,0,38,39,0,1
47,5,109832,11,9,0,4,1,4,0,0,40,39,0,0
43,4,198318,15,10,2,13,1,4,0,0,40,39,0,1
28,4,155106,4,16,2,7,1,4,0,0,50,26,0,0
27,4,287372,8,9,2,8,0,4,0,0,40,33,0,0
23,4,145574,11,9,2,1,0,4,0,0,48,39,0,0
30,4,257910,11,10,2,7,0,1,5013,0,56,39,0,0
30,4,59496,11,13,2,12,0,4,2407,0,14,39,0,0
32,0,293936,5,4,3,8,1,4,0,0,40,0,0,0
48,4,149640,11,9,2,14,0,2,0,0,40,39,0,0
56,4,116632,0,16,2,10,0,4,0,0,50,39,0,1
29,4,105598,15,10,0,13,1,4,0,0,58,39,0,0
38,4,155537,11,9,2,3,0,4,0,0,40,39,0,0
28,4,183175,15,10,0,1,0,2,0,0,40,39,1,0
31,4,169846,11,9,2,1,1,4,14344,0,40,39,1,1
49,5,191681,15,10,2,4,0,4,0,0,50,39,0,1
25,0,200681,15,10,4,12,3,4,0,0,40,39,0,0
19,4,101509,15,10,0,8,3,4,0,0,32,39,0,0
43,4,309974,15,13,5,12,3,2,0,0,40,39,1,0
29,6,162298,12,9,2,12,1,4,0,0,70,39,0,1
23,7,156008,15,10,0,10,1,4,0,0,40,24,0,0
79,4,124744,15,10,2,10,2,4,0,0,20,39,0,0
27,4,213921,11,9,4,8,3,4,0,0,40,26,0,0
40,4,32214,7,13,2,1,0,4,0,0,40,39,0,0
67,0,283116,0,6,2,11,0,4,0,0,2,39,0,0
18,4,309634,1,7,4,8,3,4,0,0,22,39,1,0
31,1,125927,1,4,2,5,0,4,0,0,40,39,0,0
18,4,262158,11,9,4,12,1,4,0,0,30,39,0,0
18,4,276515,9,13,2,8,0,4,0,0,40,5,0,0
46,4,51618,12,9,0,8,5,4,0,0,50,39,1,0
59,4,159937,11,9,2,12,0,4,0,0,48,39,0,0
44,4,343591,11,9,4,3,1,4,14344,0,40,39,1,1
53,4,346253,15,9,0,12,3,4,0,0,35,39,1,0
49,2,268234,11,9,2,11,0,4,0,0,60,39,0,1
33,4,202051,12,14,2,10,0,4,0,0,50,39,0,0
30,4,54334,15,5,2,12,1,4,3325,0,40,39,0,0
43,1,267540,10,16,4,10,1,4,0,0,50,39,1,1
57,4,249977,8,11,2,10,3,4,0,0,40,39,0,0
37,4,286730,15,10,0,3,4,4,0,0,40,39,1,0
28,4,212563,12,10,0,7,4,4,0,0,10,39,1,0
34,4,89735,11,9,2,12,5,1,0,1573,35,0,1,0
34,2,226296,9,13,2,5,0,4,0,0,40,39,0,1
29,2,115585,15,9,2,6,1,4,0,0,50,39,0,0
48,4,191277,11,16,2,10,0,4,0,1902,60,39,0,1
37,4,202683,15,10,2,12,0,4,0,0,48,39,0,1
48,4,171095,7,12,0,4,4,4,0,0,40,9,1,0
35,1,249409,11,9,4,8,0,2,0,0,40,39,0,0
76,4,124191,12,14,2,4,0,4,0,0,40,39,0,1
44,4,198282,9,13,2,4,0,4,15024,0,60,39,0,1
47,6,149116,12,14,4,10,1,4,0,0,50,39,1,0
20,4,188300,15,10,4,13,3,4,0,0,40,39,1,0
29,2,103432,11,9,4,4,1,4,0,0,40,39,0,0
45,4,317660,9,9,5,3,0,4,7688,0,40,39,0,1
17,4,304873,11,6,2,13,3,4,34095,0,32,39,1,0
30,4,194901,1,7,2,6,3,4,0,0,40,39,0,0
31,2,189265,11,9,4,1,1,4,0,0,40,39,1,0
42,4,124692,11,9,2,6,3,4,0,0,40,39,0,0
24,4,116632,9,13,4,12,2,4,0,0,40,39,0,0
27,4,65324,14,15,2,10,0,4,0,0,40,39,0,1
56,4,335605,11,9,2,8,0,4,0,1887,50,2,0,1
45,4,377869,15,13,2,12,5,4,4064,0,65,39,1,0
36,4,102864,11,9,4,7,3,4,0,0,40,39,1,0
53,4,95647,6,5,2,6,0,2,0,0,50,39,0,0
56,5,303090,15,10,2,12,0,4,0,0,50,39,0,0
49,2,197371,11,11,2,3,4,2,0,0,40,39,0,1
55,4,247552,15,10,2,12,0,4,0,0,56,39,0,0
22,4,102632,11,9,4,3,3,4,0,0,40,39,0,0
21,4,199915,15,10,4,8,3,4,0,0,40,39,1,0
60,4,118853,15,13,2,1,0,4,0,0,40,39,0,0
30,4,77143,9,13,2,4,3,2,0,0,40,11,0,0
39,7,318255,9,13,4,0,0,4,0,0,50,39,0,1
45,4,301606,15,10,4,8,3,2,0,0,40,39,0,0
47,4,287828,9,13,2,12,5,4,0,0,40,39,1,1
20,4,200381,15,10,4,1,0,4,0,1719,28,39,1,0
31,1,190511,0,12,2,1,0,4,0,0,40,39,0,1
35,0,221626,11,9,2,0,0,4,0,0,40,39,0,0
39,4,365739,15,10,0,3,1,4,0,0,40,39,0,0
28,4,69621,7,11,4,12,1,4,0,0,60,39,1,0
24,4,43323,11,9,4,8,1,4,0,1762,45,39,1,0
59,4,120985,11,13,2,3,0,4,3908,0,35,39,0,0
32,4,254202,9,13,2,12,0,2,0,0,50,39,0,0
46,4,146195,7,12,0,13,1,2,0,0,36,39,1,0
38,1,125933,15,14,2,8,0,4,0,0,40,39,0,1
43,6,56920,11,9,2,10,0,4,0,0,60,39,0,0
27,4,190539,8,14,0,1,5,4,0,0,35,39,1,0
20,4,188650,15,10,2,12,3,4,0,0,20,39,0,0
49,4,81973,15,10,2,3,0,1,0,0,40,39,0,1
61,5,66614,6,9,2,3,1,4,0,0,40,39,0,0
27,4,123983,15,10,4,12,3,4,0,0,40,39,1,0
42,7,169240,15,10,4,8,3,4,0,0,30,26,0,0
45,4,196584,8,11,4,4,3,4,0,1564,40,39,1,1
70,4,105376,15,10,4,14,2,2,0,0,40,39,0,0
31,4,185814,11,9,4,3,4,4,0,0,30,39,1,0
22,4,175374,15,10,2,4,0,4,0,0,24,39,0,0
36,4,172281,11,9,6,8,4,4,0,0,40,39,1,0
64,4,181232,11,7,2,3,0,4,0,2179,40,39,0,0
43,0,174662,15,10,0,4,1,4,0,0,40,39,1,0
47,2,186009,15,10,0,1,4,4,0,0,38,26,1,0
34,4,247540,11,9,4,1,1,4,0,0,40,39,1,0
33,6,163003,9,13,4,4,2,1,0,0,50,30,1,0
21,4,296158,11,4,4,3,3,4,0,0,40,39,0,0
52,4,252903,5,9,0,0,1,4,0,0,45,39,0,1
48,4,187715,11,9,2,0,1,4,0,0,40,39,0,0
23,4,214542,9,9,4,6,1,4,0,0,40,39,0,0
71,6,494223,15,9,5,12,0,2,0,0,45,39,0,0
90,4,191535,11,9,0,3,1,4,0,0,60,39,0,0
42,4,228456,9,13,5,3,0,4,0,0,50,39,0,0
68,0,72055,3,2,0,15,1,4,0,0,50,39,1,0
25,4,252752,11,9,4,8,4,4,0,0,40,39,1,0
44,5,204062,12,14,4,4,0,4,0,0,40,39,1,0
43,4,88419,11,9,4,6,1,1,0,0,40,39,1,0
45,9,201080,12,14,2,12,0,4,0,0,40,29,0,1
31,4,53220,15,10,2,5,4,4,0,0,40,35,1,0
39,4,235485,7,9,4,4,4,4,0,0,42,39,0,0
46,7,57758,12,9,6,8,4,4,0,1669,40,39,0,0
18,4,104443,1,7,5,1,3,4,0,0,16,39,0,0
66,4,122742,8,11,6,8,1,4,0,0,40,39,1,0
27,4,242580,11,9,4,8,0,4,0,0,40,39,0,0
28,7,175325,11,9,2,8,3,4,0,0,40,39,0,0
51,4,114032,15,10,2,12,0,4,4101,1977,40,39,0,1
35,2,115677,9,13,4,11,1,4,0,0,50,39,0,0
28,7,149624,9,13,2,7,0,4,0,0,40,39,0,1
27,4,161744,4,14,3,12,4,4,0,0,25,39,1,0
60,4,312956,11,9,4,14,3,2,0,0,40,39,0,0
59,4,187921,11,9,4,6,1,2,0,0,40,39,0,0
18,4,183930,11,9,4,8,0,4,0,0,12,39,0,0
33,4,37274,11,13,2,10,0,4,0,0,65,39,0,0
44,2,181344,15,10,2,4,0,2,0,0,38,39,0,1
43,4,157165,15,10,0,1,1,4,0,0,40,39,1,0
30,4,633742,11,10,4,1,1,2,0,0,45,39,0,0
40,4,286370,5,4,2,1,0,4,0,0,50,26,0,1
20,4,29054,15,10,2,1,0,4,0,0,40,39,0,1
34,4,304030,11,9,2,1,0,2,0,0,40,39,0,0
41,6,143129,11,13,0,4,1,4,0,0,40,39,1,0
53,0,135105,9,13,5,0,1,4,0,0,50,39,1,0
31,4,99928,12,14,2,10,5,4,0,0,50,39,1,0
58,7,109567,11,16,2,10,0,4,0,0,1,39,0,1
38,9,155222,15,10,0,7,1,2,0,0,40,39,1,0
24,4,159567,15,9,2,7,0,4,0,0,40,39,0,0
41,2,523910,9,13,2,3,0,2,0,0,40,39,0,0
23,4,120939,12,10,2,13,0,4,0,0,45,39,0,0
41,4,130760,9,13,2,10,0,4,0,1628,24,39,0,0
23,4,197387,15,3,2,14,0,4,0,0,40,39,0,0
71,4,99374,15,10,0,3,1,4,0,0,40,39,0,0
36,6,56795,12,14,4,8,1,4,0,0,55,39,1,1
35,4,138992,12,14,2,10,2,2,0,0,40,39,0,1
24,6,32921,11,9,2,10,1,4,0,0,40,39,0,0
26,4,397317,12,14,4,10,1,4,0,0,40,39,1,0
19,4,170653,11,9,4,0,3,4,0,0,40,22,0,0
25,4,259323,9,13,2,4,4,4,0,0,50,39,0,1
72,2,244906,15,10,0,10,1,2,0,1340,40,39,1,0
37,7,48211,11,10,0,1,4,4,0,0,35,39,1,0
19,4,220517,1,7,4,12,0,4,0,1564,40,39,1,0
26,4,212206,9,13,2,8,0,2,7298,0,35,39,0,1
35,4,36270,7,9,0,3,1,4,0,0,40,39,0,0
58,5,210563,11,9,2,12,5,4,15024,0,50,39,1,1
41,4,258973,1,7,4,12,1,4,0,0,12,31,1,0
44,4,160943,11,9,2,14,0,2,0,0,50,39,0,0
41,4,208358,11,9,2,3,0,4,0,0,40,39,0,1
35,4,153790,15,10,4,12,3,0,0,0,40,39,1,0
60,4,182656,11,9,2,3,1,1,0,0,40,39,0,0
54,5,125417,5,8,2,4,0,4,0,0,40,39,0,1
37,4,635913,15,9,0,4,1,2,0,0,60,39,0,1
50,9,313321,7,12,0,12,1,4,0,0,40,39,1,0
74,4,182609,11,13,2,12,0,4,0,0,50,39,0,0
45,4,53497,9,13,2,10,3,4,0,0,55,39,0,0
19,4,255004,15,6,4,1,1,4,0,0,40,39,0,0
31,4,197860,15,10,2,10,0,4,0,0,40,39,0,0
41,0,187656,3,10,4,0,1,4,0,0,40,24,0,0
90,4,134886,11,9,4,3,1,2,0,2206,40,39,0,0
54,4,176681,11,9,2,1,1,2,0,0,20,39,0,0
26,2,248059,13,1,4,10,1,4,0,0,35,39,1,0
18,2,243313,11,7,4,12,3,4,0,0,40,39,1,0
22,0,24215,11,6,0,0,4,0,0,0,10,39,1,0
66,6,244147,11,9,4,10,0,4,1409,0,50,39,0,0
75,4,275163,8,11,6,1,1,4,0,0,20,39,1,0
65,4,62258,11,13,0,1,1,4,0,0,50,39,1,0
38,4,538583,1,7,5,14,1,2,3674,0,40,39,0,0
41,4,130408,11,9,0,12,4,2,0,0,20,39,1,0
25,4,159732,9,10,4,1,1,4,0,0,42,39,0,0
33,4,110978,15,10,0,8,0,4,0,0,40,39,1,0
28,4,76714,14,15,4,10,1,4,0,0,55,39,0,1
59,0,169182,11,10,6,8,0,4,0,0,40,39,0,0
20,4,170525,15,10,4,1,1,4,0,0,38,39,1,0
41,4,180138,11,13,2,4,0,4,0,0,50,20,0,1
28,2,115076,12,14,2,1,0,4,0,0,70,39,0,1
23,4,115458,11,6,4,14,3,4,0,0,40,19,0,0
40,4,347890,9,10,5,10,0,2,0,0,40,39,0,1
41,6,47541,11,9,0,8,5,4,0,0,20,39,1,0
30,7,273905,7,10,2,11,0,4,0,0,50,39,0,0
20,0,308691,15,10,4,0,3,4,0,0,20,39,0,0
38,4,179488,11,10,0,3,1,4,0,1741,40,39,0,0
56,4,203580,11,9,2,1,0,4,0,0,35,39,0,0
58,4,236596,11,9,2,1,0,4,0,0,45,39,0,1
32,4,183916,11,9,4,8,1,4,0,0,34,39,1,0
40,4,220237,15,12,2,13,0,4,0,0,15,39,0,1
26,4,153141,11,9,2,1,0,4,0,0,40,0,0,0
41,4,112763,14,15,2,10,0,4,0,0,40,39,1,1
42,4,390781,9,13,2,0,5,2,0,0,40,39,1,0
59,2,171328,0,10,6,8,4,2,0,0,40,39,1,0
19,2,27382,15,10,2,1,3,4,0,0,40,39,0,0
26,4,259014,15,9,4,14,1,4,0,0,20,39,0,0
42,6,303044,11,9,2,5,0,1,0,0,45,1,0,1
20,4,117789,11,9,4,8,0,4,0,0,40,39,1,0
32,4,172579,11,9,5,8,1,4,0,0,30,39,1,0
45,4,229051,8,10,6,4,1,4,0,0,45,39,1,0
50,4,204518,5,9,0,3,1,4,0,0,40,39,0,0
36,4,150042,9,13,0,10,3,4,0,0,40,39,1,0
45,4,51543,15,9,2,12,0,4,0,0,60,39,0,0
17,4,245918,1,7,4,4,3,4,0,1902,12,39,0,0
24,4,146013,11,10,2,12,4,4,4064,0,40,39,0,0
26,4,378322,1,7,2,4,0,4,2174,0,40,39,0,0
23,5,266624,15,10,2,4,0,4,0,0,75,37,0,1
19,0,218956,15,10,4,0,3,4,0,0,24,2,0,0
64,4,21174,11,10,2,4,0,4,0,0,60,39,0,1
42,4,185480,9,13,4,10,1,4,0,0,45,39,1,0
33,4,222205,11,9,2,3,5,0,0,0,40,39,1,1
61,4,69867,11,11,2,3,0,4,0,0,45,8,0,1
17,2,194402,6,14,4,7,3,4,1055,0,40,39,0,0
50,6,30653,1,14,2,12,1,2,2407,0,98,39,0,0
27,2,369549,12,14,4,10,3,4,0,0,35,39,0,0
30,4,70377,11,9,0,10,3,4,0,0,40,39,1,0
55,4,477983,11,9,2,6,0,2,0,0,40,39,0,0
44,4,170924,15,10,2,3,0,4,7298,0,40,39,0,1
35,4,204641,15,10,4,1,1,4,0,0,45,39,1,0
25,2,193787,9,10,4,13,3,4,0,0,45,39,1,0
24,4,279472,15,10,2,7,5,4,7298,0,48,39,1,1
22,4,34918,9,13,4,10,1,4,0,0,15,11,1,0
42,7,97688,1,11,2,12,0,4,0,0,50,39,0,1
20,4,175413,7,5,0,14,4,2,0,0,40,39,1,0
60,4,173960,9,10,0,8,1,4,0,0,42,39,1,0
21,4,67339,9,9,2,6,3,4,0,0,40,39,0,0
23,1,425161,12,14,4,12,0,4,0,0,36,39,0,1
41,6,220531,14,15,2,12,0,4,0,0,60,39,0,1
50,4,176609,15,10,0,8,1,4,0,0,40,39,0,0
37,4,371987,9,13,4,4,4,4,0,0,45,39,1,0
50,4,101077,5,4,4,3,0,4,0,0,40,39,0,0
36,4,200352,6,13,0,10,0,4,0,0,45,39,0,0
31,4,127595,11,9,0,4,1,4,27828,0,40,39,1,0
29,2,220419,9,13,4,11,3,4,0,0,56,39,0,0
21,4,231931,15,10,4,12,0,4,0,0,45,24,0,0
27,4,122116,9,8,4,14,4,2,0,0,40,39,1,0
65,4,111095,11,9,4,14,0,4,0,0,30,39,0,0
37,4,57424,15,13,0,12,0,4,0,0,60,39,1,0
47,4,328239,12,14,2,0,5,2,3464,1887,45,0,1,0
24,4,278130,11,9,4,3,3,4,0,0,40,39,0,0
38,4,169469,7,9,0,8,1,4,0,0,80,39,0,0
48,4,146268,9,13,2,1,0,4,7688,0,40,39,0,1
21,4,153718,15,10,2,8,1,1,0,0,55,39,1,0
36,4,217460,6,13,2,14,0,4,0,0,45,39,0,1
55,4,238638,11,9,2,1,0,4,4386,0,44,39,0,1
24,6,303296,15,10,2,10,5,1,0,0,40,25,1,0
43,4,173321,11,9,0,1,0,4,0,0,40,39,1,0
31,4,193945,9,12,4,13,1,4,0,0,45,39,0,0
46,4,83082,7,12,4,3,1,4,0,0,33,39,1,0
60,4,80324,7,12,2,1,0,4,0,0,40,39,0,1
41,5,402771,15,10,6,5,0,4,0,0,40,39,0,1
49,6,59306,9,13,4,4,4,4,0,0,30,39,0,0
46,4,142897,12,14,4,4,0,1,3325,0,35,36,0,1
19,0,180138,3,7,4,0,3,2,0,0,25,39,1,0
36,6,220109,9,13,2,10,1,2,0,0,20,39,1,1
22,9,199698,15,6,4,12,3,4,0,0,15,39,0,0
24,4,191954,9,10,4,7,1,4,0,0,40,39,0,0
77,6,138714,15,10,2,12,0,4,0,0,40,39,0,0
49,4,399087,4,3,2,7,2,4,0,0,38,39,1,0
29,4,278073,15,10,4,13,1,2,0,0,40,39,1,0
67,4,159841,11,9,6,8,1,4,0,0,50,39,1,0
22,6,174308,11,9,2,4,0,4,0,0,40,39,0,0
43,4,88879,15,6,2,3,0,4,0,1485,50,39,0,0
30,4,186110,15,13,0,14,1,4,0,0,45,39,0,0
29,4,192965,1,7,4,4,1,4,0,0,40,39,1,0
31,6,169188,12,14,2,3,0,4,0,0,20,39,0,0
35,6,300275,11,9,2,5,0,4,0,0,45,39,0,0
23,0,211601,8,11,4,0,0,2,0,0,40,39,1,0
43,4,548361,11,9,2,10,5,4,0,1887,50,39,1,1
58,6,95929,11,9,2,6,0,4,0,0,10,39,0,0
66,4,127921,11,9,2,14,1,4,0,0,40,39,0,0
41,4,206565,15,10,4,3,1,2,0,0,40,39,0,0
26,4,224563,9,13,4,1,1,4,0,0,40,39,0,0
47,4,178686,15,11,4,10,1,4,4787,0,40,39,0,0
55,2,158703,0,6,2,1,0,4,0,0,40,39,0,0
53,4,242606,1,9,2,14,0,4,0,0,40,39,0,0
48,4,31807,15,3,4,8,4,4,0,0,40,26,0,0
64,4,94235,11,9,4,3,2,4,0,0,40,39,0,0
49,4,71195,12,14,4,10,0,4,0,0,60,39,0,0
19,4,104112,11,9,0,4,4,4,0,0,30,14,0,0
45,4,223342,11,9,2,10,0,2,0,0,40,39,0,0
26,4,165226,7,12,4,12,1,4,0,0,40,39,0,0
28,4,296478,8,9,4,3,0,4,0,0,40,39,0,1
36,7,119272,11,9,0,11,0,4,7298,0,40,39,0,1
33,4,85043,11,15,4,4,1,4,0,0,20,39,0,0
22,7,293364,15,13,0,11,3,2,0,0,40,39,1,0
43,6,241895,9,13,4,12,1,4,0,0,40,39,0,0
67,0,207627,1,10,2,0,0,4,0,0,8,39,0,0
30,0,151989,9,10,0,4,4,4,0,0,40,39,1,0
56,4,101128,15,12,3,6,1,4,0,0,40,20,0,0
31,4,156464,9,7,6,10,3,4,0,0,25,39,0,0
33,4,117963,11,9,2,11,0,4,0,0,45,39,0,1
26,4,192262,11,9,2,8,0,4,0,0,40,39,0,0
33,4,102102,2,13,2,4,0,4,0,0,4,39,0,1
46,2,329752,1,7,2,14,0,2,0,0,30,39,0,0
45,0,372020,12,13,2,0,0,1,0,0,40,39,0,1
45,1,95432,11,9,2,1,0,4,0,0,40,39,0,1
65,4,161400,1,9,6,8,1,3,0,0,40,39,0,0
40,4,96129,8,11,2,13,0,4,0,0,40,39,0,1
40,4,111949,15,9,2,1,5,4,0,0,35,39,1,0
26,4,117125,6,5,2,3,4,4,0,0,40,32,0,0
36,4,348022,0,6,2,8,5,4,0,0,40,39,1,0
41,4,270092,12,14,2,10,1,4,0,0,40,39,0,1
43,4,180609,9,13,2,14,3,4,0,0,45,39,0,0
43,2,174575,9,13,0,4,1,4,0,1564,40,39,0,1
22,4,99185,11,9,3,12,1,4,0,0,55,39,0,0
28,4,92262,11,9,2,3,0,4,0,0,40,39,0,0
56,6,183081,15,10,2,12,0,4,0,0,45,39,0,0
22,2,362589,7,12,4,12,1,4,0,0,15,39,1,0
19,4,212448,9,13,0,4,1,4,3137,0,45,39,1,1
25,4,233059,15,9,0,12,4,4,0,0,40,39,1,0
26,1,185885,15,10,2,1,4,4,0,0,15,39,1,0
37,4,89821,1,9,4,10,3,4,0,0,10,39,0,0
40,7,237865,8,11,2,7,3,4,0,0,30,39,0,1
20,4,95644,9,9,2,7,3,2,0,0,40,39,0,0
44,4,215395,12,9,4,3,1,2,0,0,40,39,0,0
20,4,350845,15,10,0,1,3,4,0,0,45,39,1,0
33,4,267404,11,10,2,3,5,4,0,0,50,39,1,0
23,4,35633,15,10,4,12,1,4,99999,0,40,39,0,0
46,6,80914,12,10,4,4,1,4,0,0,30,39,0,0
23,4,172927,11,9,2,14,0,4,0,0,50,8,0,0
54,4,174319,11,9,0,14,1,4,0,0,40,39,0,0
46,4,214955,4,7,0,3,1,4,0,2339,45,39,1,0
30,4,344991,15,12,2,3,4,4,0,0,40,39,0,0
46,0,108699,15,10,0,3,1,4,0,0,50,39,1,0
36,4,117312,15,9,2,14,1,2,0,0,40,39,1,0
49,4,396099,11,9,4,8,0,4,0,0,50,39,1,0
34,5,134152,11,9,5,7,1,4,0,0,40,39,0,0
53,4,162028,15,9,2,1,5,4,0,2415,20,39,1,1
59,4,25429,9,10,4,1,3,4,0,0,16,39,1,0
19,4,232392,11,9,4,8,1,4,0,0,60,39,1,0
35,4,195453,11,10,2,8,0,4,0,0,40,39,1,1
27,4,301302,9,13,4,3,1,4,0,0,50,39,0,0
46,6,277946,7,12,6,3,1,4,0,0,40,39,0,0
40,4,90338,9,13,2,4,0,4,7688,0,45,0,0,1
35,4,324947,6,9,0,8,1,4,0,0,65,39,1,0
44,4,115562,15,7,2,13,0,4,0,0,40,39,0,0
45,4,96975,6,10,0,6,1,4,0,0,40,39,1,0
20,0,137300,11,9,4,0,2,4,0,0,35,39,1,0
25,4,86872,11,13,4,4,0,4,0,0,55,39,0,1
52,5,200381,9,9,2,4,0,4,0,0,50,39,0,1
20,4,416103,15,10,4,6,0,4,0,0,40,39,0,0
28,4,108574,15,10,4,8,0,4,0,0,40,39,1,0
50,7,288353,9,13,2,10,0,4,0,0,40,39,0,1
34,4,210781,8,11,0,8,1,4,0,0,64,39,1,0
28,4,166481,5,4,2,6,0,2,0,2179,45,39,0,0
41,4,445382,12,14,2,4,0,4,0,1977,65,39,0,1
28,4,110145,11,9,2,3,0,4,0,0,40,39,0,0
38,6,31807,11,9,2,3,0,4,0,0,25,39,0,0
28,0,123147,15,10,2,12,5,4,0,0,40,39,1,1
32,4,364657,15,10,2,4,3,1,0,0,50,39,0,0
49,4,42346,15,9,0,8,1,1,0,0,24,39,1,0
24,4,241951,15,4,4,10,4,2,0,0,40,39,1,0
40,4,118500,15,10,4,14,4,4,0,0,40,39,1,0
46,4,188386,9,11,2,4,0,4,15024,0,60,39,0,1
31,4,1033222,15,10,2,7,1,4,0,0,40,39,0,0
56,4,23871,2,8,0,3,1,4,0,0,40,39,0,1
52,4,190762,3,2,2,7,0,4,0,0,64,26,0,0
30,4,426017,11,7,4,8,1,4,0,0,19,39,1,0
34,2,243867,1,7,5,7,4,2,0,0,40,39,0,0
34,7,207685,11,9,5,10,4,4,0,0,40,39,1,0
30,4,61777,15,10,2,8,0,4,0,0,30,39,0,0
17,4,175024,1,7,2,10,3,1,2176,0,18,39,0,0
32,7,92003,9,13,2,4,0,4,0,0,36,39,1,1
29,4,188401,14,9,0,5,1,4,0,0,40,39,0,0
33,4,228528,9,6,4,3,4,4,0,0,35,39,1,0
25,4,133373,11,9,2,14,0,4,0,0,60,39,0,0
36,1,255191,12,6,4,10,1,4,0,0,40,39,0,0
23,4,204653,11,9,4,6,1,4,0,0,40,39,0,0
63,5,222289,11,9,2,4,0,4,0,0,40,39,0,1
47,2,203715,12,10,2,10,0,4,0,0,40,39,0,0
80,0,107762,11,9,6,0,1,1,0,0,24,39,0,0
17,4,202521,1,7,4,0,3,4,0,0,40,39,0,0
40,6,204116,9,13,4,3,1,4,2174,0,40,39,1,0
30,4,29662,7,12,2,8,5,4,0,0,40,39,1,1
27,4,431745,15,10,2,3,3,1,0,1980,40,30,0,0
33,4,200802,15,14,2,10,0,4,0,0,40,39,0,1
20,4,284843,9,4,2,5,1,2,594,0,60,39,0,0
34,4,117018,15,13,4,5,5,4,0,0,40,39,1,0
23,4,81281,15,10,2,1,3,4,0,0,40,39,0,0
42,4,340148,15,10,2,1,5,4,0,0,40,39,1,0
29,4,363425,9,13,4,11,0,4,0,0,40,39,0,0
41,4,45857,11,9,0,1,1,4,0,0,28,39,1,0
24,4,191073,8,9,4,2,0,4,0,0,40,39,0,0
44,4,216864,15,10,2,10,0,4,0,0,40,39,0,1
38,4,405855,6,5,4,3,3,4,0,0,40,26,0,0
